Scale_Id,Scale,Level_Id,Levels,Q_Id,Points,Questions,Value
AP,Agile Practices,L1,level 1,Q01,"Developers, QE and business analysts participate in sprint planning and daily stand-up meetings is actively.","Do developers, QE, and business analysts actively participate in sprint planning and daily stand-up meetings?",50
AP,Agile Practices,L1,level 1,Q02,Review of EPIC stories to understand the bigger picture is conducted.,Do you conduct reviews of EPIC stories to understand the bigger picture?,50
AP,Agile Practices,L1,level 1,Q03,"Story kick-off sessions with QE, developers and business analysts are held.","Are story kick-off sessions held with QE, developers, and business analysts?",50
AP,Agile Practices,L1,level 1,Q04,Contribution to defining acceptance criteria within stories is encouraged.,Is contribution to defining acceptance criteria within stories encouraged?,50
AP,Agile Practices,L1,level 1,Q05,Documentation of QE tasks and estimation as part of stories is established.,Is documentation of QE tasks and estimation as part of stories established?,50
AP,Agile Practices,L1,level 1,Q06,"Developers, QE and business analysts participat participate in retrospective meetings.","Do developers, QE, and business analysts participate in retrospective meetings?",50
AP,Agile Practices,L2,level 2,Q07,"Curated Test Pyramid is maintained and practiced for user-interafce apps and back-end APIs with right focus on Pyramid bottom layers of Static Analysis,Unit tests and Integration tests ",Do you maintain and practice a curated Test Pyramid for user-interface apps and back-end APIs?,50
AP,Agile Practices,L2,level 2,Q08,Inclusion of NFR requirements within user stories is emphasized.,Is inclusion of NFR requirements within user stories emphasized?,50
AP,Agile Practices,L2,level 2,Q09,Integration of a Definition of Done checklist for QE and Development tasks is followed.,Do you practice a Definition of Done checklist for QE abd Devlopment tasks?,50
AP,Agile Practices,L2,level 2,Q10,Definition of entry and exit criteria for E2E release and UAT testing is established.,Is the definition of entry and exit criteria for E2E release and UAT testing established?,50
AP,Agile Practices,L2,level 2,Q11,Creation of test artifacts for Go/No-Go decisions is encouraged.,Is the creation of test artifacts for Go/No-Go decisions encouraged?,50
AP,Agile Practices,L2,level 2,Q12,Monitoring of E2E testing progress through release dashboards is practiced.,Do you monitor E2E testing progress through release dashboards?,50
AP,Agile Practices,L2,level 2,Q13,"Collaboration and knowledge-sharing between QE, developers, business analysts, product owners, and stakeholders is fostered. ","Is collaboration and knowledge-sharing between QE, developers, business analysts, product owners, and stakeholders fostered?",10
AP,Agile Practices,L3,level 3,Q14,Auto-generation of API contract docs for ease of integration for user-interface apps (mobile or web) is implemented.,Is auto-generation of API contract docs for ease of integration for user-interface apps (mobile or web) implemented?,50
AP,Agile Practices,L3,level 3,Q15,Availability of the required onboarding docs from API teams for ease of onboarding of UI teams is ensured.,Do you ensure the availability of the required onboarding docs from API teams for ease of onboarding of UI teams?,50
AP,Agile Practices,L3,level 3,Q16,"Exploration meetings enabled between API, user-interface (Mobile/Web) teams and product-ownsers to identify requirements and impacted teams for a given feature are conducted.","Are exploration meetings conducted between API, user-interface (Mobile/Web) teams, and product owners to identify requirements and impacted teams for a given feature?",50
AP,Agile Practices,L3,level 3,Q17,Product Owners testing signoff before the commencement of feature E2E and UAT testing is made mandatory.,Is Product Owners testing sign-off before the commencement of feature E2E and UAT testing made mandatory?,50
AP,Agile Practices,L3,level 3,Q18,"Effective collaboration between PMs, QE, and UAT testers during feature release testing to ensure duplicate bugs are not raised and current testing status is known to all with all open bugs is encouraged.","Is effective collaboration between PMs, QE, and UAT testers during feature release testing to ensure no duplicate bugs are raised and the current testing status is known to all encouraged?",50
AP,Agile Practices,L3,level 3,Q19,Auto-generation of Release Testing progress dashboards is established.,Is auto-generation of Release Testing progress dashboards established?,50
AP,Agile Practices,L3,level 3,Q20,Effective communication process is enabled to share the release testing progress and identified defects progress with required stakeholders and teams,Is an effective communication process established to share the release testing progress and identified defects with the required stakeholders and teams?,50
AP,Agile Practices,L4,level 4,Q21,Leveraging insights and learnings from release cycles and production issues to inform continuous improvement initiatives is prioritized.,Do you prioritize leveraging insights and learnings from release cycles and production issues to inform continuous improvement initiatives?,50
AP,Agile Practices,L4,level 4,Q22,Fostering a culture of continuous learning and experimentation to adapt to evolving technologies and methodologies is encouraged.,Do you encourage fostering a culture of continuous learning and experimentation to adapt to evolving technologies and methodologies?,50
AP,Agile Practices,L4,level 4,Q23,Integration of project management and collaboration tools to streamline communication and coordination among Agile teams is ensured.,Do you ensure integration of project management and collaboration tools to streamline communication and coordination among Agile teams?,50
AP,Agile Practices,L4,level 4,Q24,Adoption of shift-left testing practices to identify and address issues early in the development process is promoted.,Do you promote the adoption of shift-left testing practices to identify and address issues early in the development process?,50
AP,Agile Practices,L4,level 4,Q25,Enhancement of auto-generation of onboarding docs and contracts for efficient team integration is pursued.,Do you pursue the enhancement of auto-generation of onboarding docs and contracts for efficient team integration?,50
AP,Agile Practices,L4,level 4,Q26,Establishment of effective communication processes for feature flag usage to enable efficient feature management is practiced.,Do you practice the establishment of effective communication processes for feature flag usage to enable efficient feature management?,50
TE,Test Executions,L1,level 1,Q27,Test cases are derived from user stories and acceptance criteria.,Are test cases derived from user stories and acceptance criteria?,50
TE,Test Executions,L1,level 1,Q28,Utilization of approved UAT and PM test scenarios to verify test cases is ensured.,Do you ensure the utilization of approved UAT and PM test scenarios to verify test cases?,50
TE,Test Executions,L1,level 1,Q29,A subset of identified functional test cases is manually executed for Web/Mobile/API,Do you manually execute a subset of identified functional test cases for Web/Mobile/API?,50
TE,Test Executions,L1,level 1,Q30,Automation of a subset of identified functional test cases is carried out locally for Web/Mobile/API,Is automation of a subset of identified functional test cases carried out locally for Web/Mobile/API?,50
TE,Test Executions,L1,level 1,Q31,Manual testing for responsive design and cross-browser compatibility is performed.,Do you perform manual testing for responsive design and cross-browser compatibility?,50
TE,Test Executions,L1,level 1,Q32,Limited mobile web testing on a few devices and configurations is conducted.,Is limited mobile web testing conducted on a few devices and configurations?,50
TE,Test Executions,L1,level 1,Q33,Regular execution of the regression test suite using CI/CD tools like Gitlab/Github is executed.,Do you regularly execute the regression test suite using CI/CD tools like Gitlab/Github?,50
TE,Test Executions,L2,level 2,Q34,"Continuous Testing practices are adopted, with automated UI/API E2E Functional & Regression tests running at regular cadence.","Have you adopted Continuous Testing practices, with automated UI/API E2E Functional & Regression tests running at a regular cadence?",50
TE,Test Executions,L2,level 2,Q35,Test prioritization is introduced for early focus on critical functionality and high-risk areas during execution,Is test prioritization introduced for early focus on critical functionality and high-risk areas during execution?,50
TE,Test Executions,L2,level 2,Q36,Cross devices/browser testing along with Responsive design testing is performed using tools like BrowserStack or SauceLabs or LambdaTest etc,"Do you perform cross devices/browser testing along with responsive design testing using tools like BrowserStack, SauceLabs, or LambdaTest?",50
TE,Test Executions,L2,level 2,Q37,Performance testing for user-interface apps and backend services is performed at regular cadence,Is performance testing for user-interface apps and backend services performed at a regular cadence?,50
TE,Test Executions,L2,level 2,Q38,Basic accessibility testing is performed at regular cadence by using any open/paid Accessbility Test tools available in market for web/mobile user-interfaces,Do you perform basic accessibility testing at a regular cadence using any open/paid accessibility test tools available in the market for web/mobile user-interfaces?,50
TE,Test Executions,L2,level 2,Q39,Exploratory testing is perfomed in the form of BugBash or TestWar to identify gaps and learnings are fed into Continous Integration and delivery pipelines,"Is exploratory testing performed in the form of BugBash or TestWar to identify gaps, and are the learnings fed into Continuous Integration and delivery pipelines?",50
TE,Test Executions,L3,level 3,Q40,Integration of performance testing into the deployment pipeline for regular assessment of system performance and scalability is ensured.,Is integration of performance testing into the deployment pipeline ensured for regular assessment of system performance and scalability?,50
TE,Test Executions,L3,level 3,Q41,"Adoption of continuous deployment practices with automated smoke/sanity test suites to expedite the release process is encouraged in Test, pre-prod and production env","Do you encourage the adoption of continuous deployment practices with automated smoke/sanity test suites in Test, pre-prod, and production environments?",50
TE,Test Executions,L3,level 3,Q42,Implementation of basic smoke tests in the production environment to monitor system health is maintained.,Is the implementation of basic smoke tests in the production environment maintained to monitor system health?,50
TE,Test Executions,L3,level 3,Q43,Continual optimization of E2E test execution times to reduce testing duration is pursued.,Do you pursue continual optimization of E2E test execution times to reduce testing duration?,50
TE,Test Executions,L3,level 3,Q44,Automated reporting of test failures to relevant teams and stakeholders for swift issue resolution is practiced.,Is automated reporting of test failures to relevant teams and stakeholders for swift issue resolution practiced?,50
